,Zone,Time,Value
0,SEMA,1,0.0
1,SEMA,2,0.0
2,SEMA,3,0.0
3,SEMA,4,0.0
4,SEMA,5,0.0
5,SEMA,6,0.0
6,SEMA,7,0.0
7,SEMA,8,0.0
8,SEMA,9,0.0
9,SEMA,10,0.0
10,SEMA,11,0.0
11,SEMA,12,0.0
12,SEMA,13,0.0
13,SEMA,14,0.0
14,SEMA,15,0.0
15,SEMA,16,0.0
16,SEMA,17,0.0
17,SEMA,18,0.0
18,SEMA,19,0.0
19,SEMA,20,0.0
20,SEMA,21,0.0
21,SEMA,22,0.0
22,SEMA,23,0.0
23,SEMA,24,0.0
24,RI,1,0.0
25,RI,2,0.0
26,RI,3,0.0
27,RI,4,0.0
28,RI,5,0.0
29,RI,6,0.0
30,RI,7,0.0
31,RI,8,0.0
32,RI,9,0.0
33,RI,10,0.0
34,RI,11,0.0
35,RI,12,0.0
36,RI,13,0.0
37,RI,14,0.0
38,RI,15,0.0
39,RI,16,0.0
40,RI,17,0.0
41,RI,18,0.0
42,RI,19,0.0
43,RI,20,0.0
44,RI,21,0.0
45,RI,22,0.0
46,RI,23,0.0
47,RI,24,0.0
48,VT,1,0.0
49,VT,2,0.0
50,VT,3,0.0
51,VT,4,0.0
52,VT,5,0.0
53,VT,6,0.0
54,VT,7,0.0
55,VT,8,0.0
56,VT,9,0.0
57,VT,10,0.0
58,VT,11,0.0
59,VT,12,0.0
60,VT,13,0.0
61,VT,14,0.0
62,VT,15,0.0
63,VT,16,0.0
64,VT,17,0.0
65,VT,18,0.0
66,VT,19,0.0
67,VT,20,0.0
68,VT,21,0.0
69,VT,22,0.0
70,VT,23,0.0
71,VT,24,0.0
72,NH,1,0.0
73,NH,2,0.0
74,NH,3,0.0
75,NH,4,0.0
76,NH,5,0.0
77,NH,6,0.0
78,NH,7,0.0
79,NH,8,0.0
80,NH,9,0.0
81,NH,10,0.0
82,NH,11,0.0
83,NH,12,0.0
84,NH,13,0.0
85,NH,14,0.0
86,NH,15,0.0
87,NH,16,0.0
88,NH,17,0.0
89,NH,18,0.0
90,NH,19,0.0
91,NH,20,0.0
92,NH,21,0.0
93,NH,22,0.0
94,NH,23,0.0
95,NH,24,0.0
96,WCMA,1,0.0
97,WCMA,2,0.0
98,WCMA,3,0.0
99,WCMA,4,0.0
100,WCMA,5,0.0
101,WCMA,6,0.0
102,WCMA,7,0.0
103,WCMA,8,0.0
104,WCMA,9,0.0
105,WCMA,10,0.0
106,WCMA,11,0.0
107,WCMA,12,0.0
108,WCMA,13,0.0
109,WCMA,14,0.0
110,WCMA,15,0.0
111,WCMA,16,0.0
112,WCMA,17,0.0
113,WCMA,18,0.0
114,WCMA,19,0.0
115,WCMA,20,0.0
116,WCMA,21,0.0
117,WCMA,22,0.0
118,WCMA,23,0.0
119,WCMA,24,0.0
120,NEMA,1,0.0
121,NEMA,2,0.0
122,NEMA,3,0.0
123,NEMA,4,0.0
124,NEMA,5,0.0
125,NEMA,6,0.0
126,NEMA,7,0.0
127,NEMA,8,0.0
128,NEMA,9,0.0
129,NEMA,10,0.0
130,NEMA,11,0.0
131,NEMA,12,0.0
132,NEMA,13,0.0
133,NEMA,14,0.0
134,NEMA,15,0.0
135,NEMA,16,0.0
136,NEMA,17,0.0
137,NEMA,18,0.0
138,NEMA,19,0.0
139,NEMA,20,0.0
140,NEMA,21,0.0
141,NEMA,22,0.0
142,NEMA,23,0.0
143,NEMA,24,0.0
144,CT,1,0.0
145,CT,2,0.0
146,CT,3,0.0
147,CT,4,0.0
148,CT,5,0.0
149,CT,6,0.0
150,CT,7,0.0
151,CT,8,0.0
152,CT,9,0.0
153,CT,10,0.0
154,CT,11,0.0
155,CT,12,0.0
156,CT,13,0.0
157,CT,14,0.0
158,CT,15,0.0
159,CT,16,0.0
160,CT,17,0.0
161,CT,18,0.0
162,CT,19,0.0
163,CT,20,0.0
164,CT,21,0.0
165,CT,22,0.0
166,CT,23,0.0
167,CT,24,0.0
168,ME,1,0.0
169,ME,2,0.0
170,ME,3,0.0
171,ME,4,0.0
172,ME,5,0.0
173,ME,6,0.0
174,ME,7,0.0
175,ME,8,0.0
176,ME,9,0.0
177,ME,10,0.0
178,ME,11,0.0
179,ME,12,0.0
180,ME,13,0.0
181,ME,14,0.0
182,ME,15,0.0
183,ME,16,0.0
184,ME,17,0.0
185,ME,18,0.0
186,ME,19,0.0
187,ME,20,0.0
188,ME,21,0.0
189,ME,22,0.0
190,ME,23,0.0
191,ME,24,0.0
